generation,generation_best_train_mse,global_best_train_mse,mean_train_mse,validation_mse,train_validation_gap,population_diversity,gene_mean,gene_std,near_weight_boundaries_percentage,wall_seconds,cpu_seconds
35,0.2459257091454389,0.2459257091454389,0.4017646494021724,0.24683047405601044,0.0009047649105715372,2.5743730998704426,-0.01091734922412376,3.43191445481192,27.77654989501602,19.094863755000006,207.63120587899903
36,0.2459257091454389,0.2459257091454389,0.377386205858239,0.24683047405601044,0.0009047649105715372,2.560235667485776,-0.00778984997149823,3.424500762916925,27.594761852138355,18.816783467999812,207.48091175400077
37,0.2459257091454389,0.2459257091454389,0.38625218021984914,0.24683047405601044,0.0009047649105715372,2.588796175400803,-0.0065223767421601865,3.4240762296896015,27.5763067742292,18.988764316000015,207.87609420700028
38,0.2459257091454389,0.2459257091454389,0.3893839181402352,0.24683047405601044,0.0009047649105715372,2.6461387209134495,-0.010071088039454543,3.424693714111299,27.637750027627362,18.872651694000524,208.00230136700156
39,0.2459257091454389,0.2459257091454389,0.3922736316806973,0.24683047405601044,0.0009047649105715372,2.698396641455595,-0.01145752296532858,3.4321191862599094,27.83898773345121,19.08054537800035,208.17426004499976
40,0.2413881848238365,0.2413881848238365,0.3860325993667466,0.24706752521714054,0.005679340393304033,2.7270539981867574,-0.006215896027126523,3.426833718340357,27.805503370538183,19.455474761000005,208.0531793350001
41,0.2413881848238365,0.2413881848238365,0.38591142391283495,0.24706752521714054,0.005679340393304033,2.7416689311785185,-0.009889570802248657,3.4432563672742624,28.090949276163112,19.890770089000398,208.96651779399872
42,0.2413881848238365,0.2413881848238365,0.3942466296634864,0.24706752521714054,0.005679340393304033,2.785513768268538,-0.009824134780925023,3.4393651267229433,28.169742512984858,19.64880927000013,208.76986975100044
43,0.2413881848238365,0.2413881848238365,0.3846479720100696,0.24706752521714054,0.005679340393304033,2.7948820670011285,-0.007919542056615733,3.44748575540857,28.32401370317162,19.673945389000437,208.91767455199988
44,0.2413881848238365,0.2413881848238365,0.3989591918615282,0.24706752521714054,0.005679340393304033,2.7926893371008603,-0.003586902889859546,3.4419474001037256,28.201127196375293,19.155318398999952,207.96499859199866
45,0.2413881848238365,0.2413881848238365,0.39190493040480057,0.24706752521714054,0.005679340393304033,2.8175111383637947,-0.0005391426899778038,3.439818276084055,28.104210409990056,19.564859920000345,208.40217830399888
46,0.2413881848238365,0.2413881848238365,0.38671272674689633,0.24706752521714054,0.005679340393304033,2.794430455253574,-0.003091373160069466,3.436889772515068,28.123549563487675,19.37648651499967,208.12516465299996
47,0.2413881848238365,0.2413881848238365,0.3828141701323999,0.24706752521714054,0.005679340393304033,2.7069712190857538,0.00011897720209074942,3.4336551392761114,28.078682727373188,19.8424579600005,208.61137457299992
48,0.2413881848238365,0.2413881848238365,0.38033486121763166,0.24706752521714054,0.005679340393304033,2.724617758887443,-0.0023021171269850195,3.4347321524568715,28.042767156591893,19.30970393899952,208.54326381300052
49,0.2413881848238365,0.2413881848238365,0.38152014438518345,0.24706752521714054,0.005679340393304033,2.7386715799306396,0.005340444684178366,3.42012110115478,27.74627030611117,19.392120213000453,208.50185348500054
50,0.23065423790912723,0.23065423790912723,0.3905054379834265,0.23285078539783996,0.00219654748871273,2.7091067970638347,0.007374053043219012,3.408095666252062,27.47331196817328,18.73770351999974,207.2962067389999
51,0.23065423790912723,0.23065423790912723,0.3945953580057943,0.23285078539783996,0.00219654748871273,2.675310438385261,0.008041156232038217,3.4026444141801178,27.236600729362358,20.11882919599975,209.14387616399836
