epoca,mse_treino,mse_validacao,gap_treino_validacao,melhoria,epocas_sem_melhoria,tempo_parede_epoca_segundos,tempo_cpu_epoca_segundos,percentual_saturacao_oculta,camada_1_magnitude_media,camada_1_media,camada_1_desvio,camada_1_menor,camada_1_maior,camada_1_delta_magnitude_media,camada_1_delta_magnitude_maxima,camada_2_magnitude_media,camada_2_media,camada_2_desvio,camada_2_menor,camada_2_maior,camada_2_delta_magnitude_media,camada_2_delta_magnitude_maxima
26,0.01012624521878401,0.011218597324930685,0.0010923521061466743,0.0003009760401231111,0,0.41987499999959255,0.40625,9.212744677811116,1.2580386260419867,0.019525190390160513,1.7710158132745202,-7.540876774285651,5.946331748932817,2.1653875728262497e-05,0.007034401493587098,1.248047916308035,0.006859774799073232,1.6181732311947088,-3.478941139737546,2.442410548204556,2.7769899584475407e-05,0.0014814234793420757
27,0.009798009082376907,0.01092575147131906,0.001127742388942152,0.0003282361364071035,0,0.4178350000001956,0.40625,9.311330190027146,1.2671177677866803,0.020222950519599138,1.7902931908971167,-7.667881207963042,6.042838418513,2.1210549991176773e-05,0.0070908631491597195,1.255027316249262,0.00572407298794147,1.6294051986668128,-3.5159700297403855,2.4621925484736975,2.71540504437444e-05,0.0014814448998119029
28,0.00956518338069719,0.010563357438476074,0.0009981740577788834,0.0002328257016797168,0,0.43266399999993155,0.4375,9.508501214459208,1.277062203031589,0.020857722012186056,1.809292909982156,-7.7885267416973525,6.134369907434988,2.076585595741785e-05,0.007152488651390475,1.2611402705622,0.000509035800331055,1.6400885743808151,-3.557679152543045,2.476172978453462,2.6521208375194838e-05,0.0014813847718429633
29,0.009343882935380791,0.010288356281891826,0.0009444733465110346,0.000221300445316399,0,0.42258679999940796,0.421875,9.764252036005143,1.2845352550437337,0.021548674333927122,1.8272263083545635,-7.913581508042153,6.2285311467780975,2.0483988115671093e-05,0.0072763843808850304,1.2678972002100632,0.0014072403082404145,1.6508816706767588,-3.5903418361744324,2.497454746145496,2.6221947119886437e-05,0.0014803470389184172
30,0.009096623067496125,0.010043037116094236,0.0009464140485981112,0.0002472598678846666,0,0.4329836000033538,0.4375,9.89141305900843,1.2923189737967784,0.022196509916890074,1.844828876657822,-8.033871963716708,6.319014322556505,2.0087068416340697e-05,0.0074174806194288795,1.2741919695285746,0.0005160501135000176,1.6613422372821443,-3.6246515487750375,2.5159357200485486,2.565779130475002e-05,0.0014814678780386268
31,0.008903167300857554,0.009703881990145673,0.0008007146892881189,0.0001934557666385707,0,0.43597800000134157,0.421875,10.020002857551079,1.3003975645385069,0.0227823924821967,1.862075071248489,-8.149108214614468,6.405570643312471,1.966855093392721e-05,0.007450862534844921,1.2797657411531211,-0.003083076153540733,1.671264117838885,-3.6616580923112294,2.5301985666676097,2.4946590289337092e-05,0.0014811025663121575
32,0.008637649932943532,0.009666075210123156,0.0010284252771796242,0.000265517367914022,0,0.44041180000203894,0.421875,10.240034290612945,1.3062115588645784,0.02340179130695874,1.8784529986464522,-8.268043405305631,6.494325839726686,1.937953976785233e-05,0.007604043927501691,1.2861478957512544,-0.000623617614931581,1.6814629497463365,-3.6900943173978473,2.5519828738104486,2.469547811906403e-05,0.0014814476929344805
33,0.008466110084811301,0.009239794157245407,0.0007736840724341058,0.00017153984813223118,0,0.474794000001566,0.46875,10.294327761108729,1.314365008342987,0.023909613074520962,1.8950429352172584,-8.37660764821265,6.575534537197541,1.89990476712764e-05,0.007645512143039838,1.2912835862827976,-0.0053388158022715385,1.6910126158674,-3.7273932741736178,2.563931235963867,2.4029295757678913e-05,0.0014809743467879203
34,0.008233870366399013,0.009043104288060828,0.0008092339216618158,0.0002322397184122884,0,0.4081019000004744,0.40625,10.484354907843978,1.3212525000797393,0.024430978068651545,1.9110942363311476,-8.486862990214158,6.657576141039612,1.8807789103513375e-05,0.007725993370032046,1.2969593630866183,-0.006451505627393434,1.7008055540677287,-3.759599615972431,2.580464050753911,2.381897292792e-05,0.0014810730307350767
35,0.008073807240120369,0.008830264810130228,0.0007564575700098591,0.000160063126278644,0,0.41397950000100536,0.375,10.601514502071725,1.32778230861928,0.024931359124359728,1.9266771558083744,-8.594933888999417,6.737820934997878,1.8443283469480195e-05,0.00781740067050526,1.3022990928220681,-0.008040068404834289,1.7102584306417157,-3.7916471804099268,2.595781852065492,2.330019497914076e-05,0.0014814124394240244
36,0.00786210342977972,0.008608134204223268,0.0007460307744435492,0.00021170381034064933,0,0.4058647000056226,0.40625,10.72296042291756,1.334628780101277,0.025398477806750662,1.9420981516253857,-8.699838663176584,6.815589644131396,1.8182259583636104e-05,0.007862767092258522,1.3074869810474312,-0.010114261099296444,1.7196009874312244,-3.8239179301315582,2.6101983615081954,2.290882815110814e-05,0.0014814772159896065
37,0.007703154041501809,0.008462796870472017,0.0007596428289702081,0.00015894938827791007,0,0.4124322999996366,0.390625,10.927275325046436,1.3406807175241164,0.025867674398644982,1.9570424048488824,-8.804776770988566,6.893076831621832,1.7931309056951792e-05,0.008013967403776322,1.3127815747522045,-0.010747428804083213,1.7288981421733383,-3.85375921921027,2.6262077401787436,2.2614054095556906e-05,0.0014814545033780572
38,0.00758314018046112,0.008210876382178923,0.0006277362017178025,0.00012001386104068881,0,0.4307568000003812,0.421875,11.07015287898271,1.3470011660854817,0.02630911952546815,1.9716687776060586,-8.906012905566026,6.9677193946920095,1.763273703077865e-05,0.008027375636185755,1.317455696005824,-0.01353699733265179,1.7377454150676979,-3.8857162276766415,2.6388506203996944,2.2165653168112647e-05,0.001481445238440426
39,0.007399949373235358,0.008032222279639612,0.0006322729064042543,0.00018319080722576254,0,0.41672079999989364,0.40625,11.107301043006142,1.352744960863707,0.026724949792709323,1.9859893252641683,-9.006167125842508,7.0413485837735905,1.73687232803601e-05,0.008073401366975435,1.3222842705712798,-0.015123629295813316,1.7466048612900755,-3.9157384434997913,2.6527389927001943,2.182638283176653e-05,0.0014814657492388146
40,0.007242703747225997,0.007850557493455151,0.0006078537462291542,0.00015724562600936097,0,0.4195784999974421,0.40625,11.281611658808401,1.3584194076320435,0.02713805693315482,2.0000179740438937,-9.104809010304244,7.113747231567956,1.7135011466518627e-05,0.008165346935687103,1.3269673056559181,-0.016862717565418937,1.7553364633831798,-3.945533632046879,2.6662144987923044,2.1465835283345073e-05,0.0014814160059054597
41,0.007029800967806101,0.0076749625807612624,0.0006451616129551615,0.00021290277941989587,0,0.43602060000557685,0.40625,11.377339619945706,1.364759614356979,0.027511982173618152,2.014043009744652,-9.200347933804037,7.183777064573016,1.69225120160996e-05,0.008128517042847347,1.3316432819917499,-0.019020311824575954,1.7641073123644677,-3.975642267359809,2.6791306820275107,2.114306091298039e-05,0.0014807211895799292
42,0.006960598005567635,0.00762628064839827,0.000665682642830635,6.920296223846597e-05,0,0.41279670000221813,0.40625,11.537362480354336,1.3691394366138163,0.027921776904237396,2.0273159157843095,-9.298536192295174,7.255367701151362,1.66635883213192e-05,0.008353874593330169,1.3364843968575362,-0.01850000918457488,1.772701400405974,-4.001480339267072,2.694961955471708,2.0868475632061508e-05,0.0014814793915740021
43,0.006842322341931891,0.0073788168988029096,0.0005364945568710183,0.00011827566363574373,0,0.4065128000002005,0.40625,11.610230032861837,1.3747010993719757,0.028272593032767312,2.0406053974385228,-9.391068363679109,7.322918396363116,1.6444740549977918e-05,0.008303843136441707,1.340609311805643,-0.021485638938785554,1.7809518014503145,-4.031657658544846,2.7058832263800485,2.0544206704566416e-05,0.0014810359548352017
44,0.0066422769835962295,0.007327598034993977,0.0006853210513977472,0.00020004535833566175,0,0.41503889999876264,0.40625,11.708815545077869,1.37951343760217,0.02861810041234236,2.0536348828847535,-9.484565983272294,7.39086433119436,1.6255623318478534e-05,0.008346956741644616,1.345319216455791,-0.021328676604561118,1.7894208144981616,-4.057358157348565,2.720853606716248,2.0222570221868778e-05,0.001481449474253761
45,0.006563029368889965,0.007180214331326317,0.0006171849624363518,7.924761470626436e-05,0,0.41579320000164444,0.40625,11.795970852978996,1.384519747508793,0.02895298059070171,2.0664293229344675,-9.575495602347862,7.456900728773153,1.6052526629104455e-05,0.008441061717564384,1.3495873621506795,-0.02289377134786458,1.7976331706699924,-4.084961169454454,2.7333043619564457,1.9989251975105624e-05,0.001481403015083686
46,0.0064142202161956785,0.007189279040076972,0.0007750588238812934,0.00014880915269428665,0,0.412763400003314,0.40625,11.950278611230175,1.3887224362668469,0.029290133385406033,2.078925506682349,-9.667093711057412,7.523206103688711,1.5873493392693274e-05,0.008491694359483288,1.354129531336547,-0.02270307699118589,1.8059196365547814,-4.110085594886197,2.747915635612235,1.9724178123597025e-05,0.0014814813656703902
47,0.006305600177687037,0.006876982579241788,0.0005713824015547509,0.00010862003850864183,0,0.41322650000074646,0.390625,11.923131875982284,1.3945189695546873,0.02958725757222601,2.0914872509061255,-9.752493535817173,7.585218562933951,1.5646103810960627e-05,0.008452076726903117,1.3579150473366588,-0.026395235756709514,1.8138468037308308,-4.139866557813577,2.7570807556000974,1.9344648072017278e-05,0.0014814671335375504
48,0.006207125736030096,0.006742192171844878,0.0005350664358147817,9.847444165694049e-05,0,0.407501499998034,0.40625,12.087441063009,1.3993050573117691,0.029894002452614487,2.1036445163608097,-9.839557145771176,7.648126399165724,1.5476018195773866e-05,0.008532446466590217,1.3619320155278793,-0.028083130816754075,1.8217799474383283,-4.166632338875115,2.768734506675495,1.917210995300555e-05,0.0014814239553382225
