geracao,mse_treino,mse_validacao,gap_treino_validacao,melhoria,geracoes_sem_melhoria,diversidade,media_genes,desvio_genes,menor_gene,maior_gene,percentual_limites,tempo_parede_geracao_segundos,tempo_cpu_geracao_segundos
51,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,7,1.8138687046286102,-0.25023758454027206,3.5517605598293986,-5.0,5.0,35.45945945945946,0.16015260000131093,0.171875
52,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,8,1.63318387365101,-0.32823654202678,3.5482272223140257,-5.0,5.0,36.009009009009006,0.1654865999953472,0.171875
53,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,9,1.677287894974299,-0.3470248350019787,3.547587553546347,-5.0,5.0,35.93693693693694,0.1655003999985638,0.171875
54,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,10,1.5874077355766045,-0.4012127074489466,3.5285682187133576,-5.0,5.0,35.5045045045045,0.1610770000042976,0.1875
55,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,11,1.5665842684615385,-0.3975105956308876,3.5286465742960846,-5.0,5.0,35.51351351351351,0.14973060000193072,0.140625
56,0.010615276990781271,0.01208303392077158,0.0014677569299903093,0.00014993629766984866,0,1.508669896613481,-0.36310403268761804,3.5150017637514237,-5.0,5.0,34.55855855855856,0.17486210000060964,0.171875
57,0.010615276990781271,0.01208303392077158,0.0014677569299903093,0.0,1,1.454408379848357,-0.3835504172470181,3.5058901142180594,-5.0,5.0,34.387387387387385,0.16135290000238456,0.1875
58,0.010569105409534455,0.011174478841495368,0.0006053734319609125,4.617158124681567e-05,0,1.4088607312950772,-0.32358990675913,3.50617218303246,-5.0,5.0,34.24324324324324,0.1554251999987173,0.140625
59,0.010533906280977686,0.011736921389790702,0.0012030151088130159,3.5199128556769044e-05,0,1.460335207985089,-0.30511755709023836,3.492303172601138,-5.0,5.0,34.00900900900901,0.1587736000001314,0.171875
60,0.010144014164277583,0.010748674643044335,0.0006046604787667519,0.00038989211670010376,0,1.507864899463631,-0.309202680474664,3.475775988202904,-5.0,5.0,33.306306306306304,0.16063710000162246,0.171875
61,0.010144014164277583,0.010748674643044335,0.0006046604787667519,0.0,1,1.5760197941484981,-0.3055386895772335,3.491499263147496,-5.0,5.0,33.2972972972973,0.15618719999474706,0.171875
62,0.010144014164277583,0.010748674643044335,0.0006046604787667519,0.0,2,1.6050926151956986,-0.31402568761123784,3.5034790164676495,-5.0,5.0,33.48648648648649,0.16324870000244118,0.15625
63,0.010144014164277583,0.010748674643044335,0.0006046604787667519,0.0,3,1.646483775836559,-0.27984687314667134,3.522178841128646,-5.0,5.0,33.89189189189189,0.16384900000412017,0.171875
64,0.009978724374880718,0.010586964606029649,0.0006082402311489311,0.0001652897893968646,0,1.5912392499737822,-0.2651849731137077,3.5068633663968525,-5.0,5.0,32.85585585585585,0.16221629999927245,0.15625
65,0.009978724374880718,0.010586964606029649,0.0006082402311489311,0.0,1,1.6367306055743762,-0.3131544969063426,3.502160776822964,-5.0,5.0,33.02702702702703,0.16464409999753116,0.21875
66,0.00837441454162464,0.009814335375648147,0.0014399208340235073,0.0016043098332560787,0,1.6217979225009642,-0.3204880871309927,3.510685363694118,-5.0,5.0,33.44144144144144,0.1536160000032396,0.15625
67,0.00837441454162464,0.009814335375648147,0.0014399208340235073,0.0,1,1.6890445636535996,-0.3237463047311186,3.5038847877623804,-5.0,5.0,33.13513513513514,0.1648161000048276,0.15625
68,0.00837441454162464,0.009814335375648147,0.0014399208340235073,0.0,2,1.6508824314806045,-0.3208339304304391,3.4921940545272223,-5.0,5.0,32.648648648648646,0.1682996999952593,0.171875
